PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
SHORT,104918320022016022314081790910630,3,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,104918320022016022314081790910630,3,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,MEDIUM
MEDIUM,104918320022016022314081790910630,3,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
SHORT,104918320022016022314081790910630,4,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
LONG,104918320022016022314081790910630,4,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,104918320022016022314081790910630,4,EPC-H5,Add local time control to heating system.,LOW
MEDIUM,104918320022016022314081790910630,5,EPC-H3,Consider replacing heating boiler plant with a condensing type.,MEDIUM
LONG,104918320022016022314081790910630,5,EPC-R4,Consider installing PV.,LOW
MEDIUM,104918320022016022314081790910630,6,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
MEDIUM,105003095952015091715435403009334,1,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,105003095952015091715435403009334,1,EPC-H6,Add local temperature control to the heating system.,MEDIUM
SHORT,105003095952015091715435403009334,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
SHORT,105003095952015091715435403009334,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
MEDIUM,105003095952015091715435403009334,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,105003095952015091715435403009334,2,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
MEDIUM,105003095952015091715435403009334,3,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
LONG,105003095952015091715435403009334,3,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,MEDIUM
LONG,105003095952015091715435403009334,4,EPC-H5,Add local time control to heating system.,MEDIUM
MEDIUM,105003095952015091715435403009334,4,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
LONG,105003095952015091715435403009334,5,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
SHORT,109135400402016012708552112700290,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,109135400402016012708552112700290,1,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,109135400402016012708552112700290,1,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,109135400402016012708552112700290,2,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,109135400402016012708552112700290,2,EPC-H5,Add local time control to heating system.,LOW
SHORT,109135400402016012708552112700290,2,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
MEDIUM,109135400402016012708552112700290,3,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,109135400402016012708552112700290,3,EPC-R4,Consider installing PV.,LOW
SHORT,109135400402016012708552112700290,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,109607160062016021111450661020820,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
MEDIUM,109607160062016021111450661020820,1,EPC-H3,Consider replacing heating boiler plant with a condensing type.,MEDIUM
LONG,109607160062016021111450661020820,1,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,109607160062016021111450661020820,2,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,MEDIUM
SHORT,109607160062016021111450661020820,2,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
MEDIUM,109607160062016021111450661020820,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
SHORT,109607160062016021111450661020820,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,109607160062016021111450661020820,3,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,109607160062016021111450661020820,3,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
LONG,109607160062016021111450661020820,4,EPC-R4,Consider installing PV.,LOW
SHORT,109607160062016021111450661020820,4,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,109607160062016021111450661020820,5,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
LONG,100531495032015033116335672000190,1,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,100531495032015033116335672000190,2,EPC-R3,Consider installing solar water heating.,LOW
LONG,100531495032015033116335672000190,3,EPC-R4,Consider installing PV.,LOW
SHORT,100836165032015041714402346000192,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,100836165032015041714402346000192,1,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,100836165032015041714402346000192,2,EPC-R3,Consider installing solar water heating.,LOW
SHORT,100836165032015041714402346000192,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,100836165032015041714402346000192,3,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,100836165032015041714402346000192,4,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
LONG,100836165032015041714402346000192,5,EPC-R4,Consider installing PV.,LOW
MEDIUM,100846818012015050716271208009987,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
LONG,100846818012015050716271208009987,1,EPC-R5,Consider installing an air source heat pump.,HIGH
SHORT,100846818012015050716271208009987,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,LOW
LONG,100846818012015050716271208009987,2,EPC-R1,Consider installing a ground source heat pump.,HIGH
MEDIUM,100846818012015050716271208009987,2,EPC-H6,Add local temperature control to the heating system.,LOW
SHORT,100846818012015050716271208009987,2,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
MEDIUM,100846818012015050716271208009987,3,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,100846818012015050716271208009987,3,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,100846818012015050716271208009987,3,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
MEDIUM,100846818012015050716271208009987,4,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,MEDIUM
LONG,100846818012015050716271208009987,4,EPC-R3,Consider installing solar water heating.,LOW
SHORT,100846818012015050716271208009987,4,EPC-H2,Add time control to heating system.,LOW
LONG,100846818012015050716271208009987,5,EPC-R4,Consider installing PV.,LOW
MEDIUM,100846818012015050716271208009987,5,EPC-H5,Add local time control to heating system.,MEDIUM
SHORT,100846818012015050716271208009987,5,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
MEDIUM,100846818012015050716271208009987,6,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
SHORT,100846818012015050716271208009987,6,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
SHORT,100846818012015050716271208009987,7,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
MEDIUM,100846818012015050716271208009987,7,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
SHORT,100846818012015050716271208009987,8,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
MEDIUM,100846818012015050716271208009987,8,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
MEDIUM,101374195032015051113263609000998,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
LONG,101374195032015051113263609000998,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
SHORT,101374195032015051113263609000998,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
MEDIUM,101374195032015051113263609000998,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,101374195032015051113263609000998,2,EPC-H2,Add time control to heating system.,LOW
LONG,101374195032015051113263609000998,2,EPC-R5,Consider installing an air source heat pump.,HIGH
MEDIUM,101374195032015051113263609000998,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,101374195032015051113263609000998,3,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,101374195032015051113263609000998,3,EPC-R1,Consider installing a ground source heat pump.,HIGH
LONG,101374195032015051113263609000998,4,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,101374195032015051113263609000998,4,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
MEDIUM,101374195032015051113263609000998,4,EPC-H6,Add local temperature control to the heating system.,LOW
SHORT,101374195032015051113263609000998,5,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
MEDIUM,101374195032015051113263609000998,5,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,101374195032015051113263609000998,5,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,101374195032015051113263609000998,6,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,MEDIUM
SHORT,101374195032015051113263609000998,6,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
MEDIUM,101374195032015051113263609000998,7,EPC-H5,Add local time control to heating system.,MEDIUM
MEDIUM,101374195032015051113263609000998,8,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
MEDIUM,101374195032015051113263609000998,9,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
SHORT,101430614012015051113224009009488,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
LONG,101430614012015051113224009009488,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
MEDIUM,101430614012015051113224009009488,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
LONG,101430614012015051113224009009488,2,EPC-R5,Consider installing an air source heat pump.,MEDIUM
MEDIUM,101430614012015051113224009009488,2,EPC-H6,Add local temperature control to the heating system.,LOW
SHORT,101430614012015051113224009009488,2,EPC-H2,Add time control to heating system.,LOW
MEDIUM,101430614012015051113224009009488,3,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,101430614012015051113224009009488,3,EPC-W3,Improve insulation on HWS storage.,LOW
SHORT,101430614012015051113224009009488,3,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,101430614012015051113224009009488,4,EPC-R1,Consider installing a ground source heat pump.,HIGH
MEDIUM,101430614012015051113224009009488,4,EPC-H5,Add local time control to heating system.,LOW
SHORT,101430614012015051113224009009488,4,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
MEDIUM,101430614012015051113224009009488,5,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
LONG,101430614012015051113224009009488,5,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,101430614012015051113224009009488,5,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
MEDIUM,101430614012015051113224009009488,6,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
SHORT,101430614012015051113224009009488,6,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,101430614012015051113224009009488,7,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
